date,open,high,low,close,volume
5/26/08,12906.6,12906.6,12429.93,12584.78,143823984
5/27/08,12549.34,12822.25,12345.88,12822.25,263767104
5/28/08,12863.35,12925.59,12231.67,12254.97,187807424
5/29/08,11848.36,12288.03,11699.29,12235.05,192201024
5/30/08,12187.53,12416.93,11919,12130.51,226041824
6/3/08,12315.11,12529.11,12315.11,12479.47,158864544
6/4/08,12907.57,13090.85,12907.57,13089.5,205305296
6/5/08,13282.71,13282.71,12993.95,13053.99,220824304
6/6/08,13059.24,13134.56,12774.45,13134.56,160741616
6/9/08,13213.33,13230.31,12867.27,12908.22,122031120
6/10/08,12766.42,12912.66,12685.18,12878.04,144749616
6/11/08,12868.12,13113.23,12848.61,13016.38,131199056
6/12/08,13157.57,13167.69,12933.36,13025.64,127956656
6/13/08,12988.32,13040.15,12895.25,12941.56,104000384
6/16/08,12975,12975.89,12416.1,12444.13,107520640
6/17/08,12437.36,12497.86,12031.56,12497.86,128444720
6/18/08,12486.13,12519.13,12241.19,12261.06,119971400
6/20/08,11829.75,12083.16,11519.66,11655.28,159432960
6/23/08,11585.83,11686.35,11134.85,11162.17,154793104
6/24/08,11513.55,12123.51,11513.55,12122.67,183854464
6/25/08,12274.3,12499.16,12274.3,12430.29,232447296
6/26/08,12489.89,12609.32,12416.08,12452.08,146357792
6/27/08,12446.76,12452.08,12342.78,12353.19,29682460
6/30/08,12275.9,12353.19,12256.37,12289.03,11485120
7/1/08,12212.81,12284.03,12189.24,12221.53,46952760
7/2/08,12178.43,12178.43,12123.69,12126.1,13778420
7/3/08,12069.15,12069.15,12035.21,12035.21,11117040
7/4/08,11969.85,11969.85,11952.52,11961.66,5348660
7/7/08,11899.69,11899.69,11878.38,11878.38,16879600
7/8/08,11834.77,11834.77,11797.17,11813.24,21207720
7/9/08,11737.32,11846.94,11733.42,11796.47,52411500
7/10/08,11748.87,11773.12,11702.52,11773.12,12731080
7/11/08,11716.03,11716.03,11687.11,11695.82,21163100
7/14/08,11373.73,11373.73,11161.07,11177.31,69929880
7/15/08,10921.6,11167.31,10902,10959.87,155031440
7/16/08,10830.1,10830.1,10479.89,10491.88,78998864
7/17/08,10151.5,10212.92,10045.43,10212.92,89534704
7/18/08,10080.67,10455.53,10036.14,10234.78,184626720
7/21/08,10263.32,10374.3,10057.72,10374.3,93853296
7/22/08,10413.85,10795.71,10374.3,10784.81,135254528
7/23/08,10970.49,11141.84,10916,11018.5,180342960
7/24/08,11080.17,11173.77,10979.07,11156.68,143709024
7/25/08,11252.84,11309.74,10942.14,11032.17,149335696
7/28/08,10864.83,10864.83,10542.9,10578.49,83
7/29/08,10356.49,10525.36,10255.12,10448.19,113598896
7/30/08,10562.8,10855.79,10562.8,10853.02,116569200
7/31/08,10913.42,10949.63,10531.5,10583.58,115201800
8/1/08,10480.84,10480.84,10122.59,10171.39,72835160
8/4/08,10205.11,10282.78,9739.01,9853.18,131193760
8/5/08,9795.64,10042.47,9556.96,10042.47,143435984
8/6/08,10014.15,10014.15,9634.33,9678.82,77931744
8/7/08,9541.06,9816.98,9469.98,9707.29,119797584
8/8/08,9653.74,9936.94,9583.79,9909.45,89144944
8/11/08,9897.17,10240.37,9893.2,10171.86,121971856
8/12/08,10218.22,10250.5,9848.76,9963.58,81834224
8/13/08,9892.68,9963.58,9701.72,9902.35,68983800
8/15/08,9906.55,10258.71,9854.67,10258.71,97209400
8/18/08,10363.48,10722.63,10277.71,10719.62,158862256
8/19/08,10734.64,11061.45,10734.64,10919.06,211244128
8/20/08,10915.44,10915.44,10483.37,10525.98,116579040
8/21/08,10322.77,10542.65,10207.92,10236.66,120150080
8/22/08,10070.73,10070.73,9907.26,9993.81,103350656
8/25/08,9854.5,10068.37,9741.04,9813.66,86616440
8/26/08,9767.09,9892.37,9384.27,9430.29,87509424
8/27/08,9260.36,9260.36,8999.36,9144.93,94427240
8/28/08,9243.27,9258.16,9162.93,9203.78,55789580
8/29/08,9201.32,9208.44,9185.67,9208.26,23863700
9/1/08,9207.87,9215.7,9189.2,9210.15,23619940
9/2/08,9212.71,9229.51,9212.71,9229.51,8882780
9/3/08,9230.04,9241.85,9227.11,9239.15,12631320
9/4/08,9240.55,9240.55,9213.3,9239.26,24869840
9/5/08,9232.56,9342.19,9232.41,9342.19,43877620
9/8/08,9398.71,9461.04,9278.62,9296.23,48053000
9/9/08,9289.62,9305.73,9265.82,9279.62,11210660
9/10/08,9281.45,9315.68,9268.7,9315.68,21689000
9/11/08,9298.85,9298.85,9251.43,9263.39,13840960
9/12/08,9263.17,9263.39,9239.75,9253.92,12243980
9/15/08,9253.19,9253.19,9230.95,9233.21,10532500
9/16/08,9221.46,9223.77,9218.93,9223.77,9966380
9/17/08,9222.84,9224.08,9214.98,9216.23,5475000
9/18/08,9214.69,9214.69,9202.31,9202.31,6242820
9/19/08,9201.56,9201.56,9199.29,9200.6,4309900
9/22/08,9200.6,9200.6,9199.72,9200.22,3524560
9/23/08,9200.6,9209.61,9198.06,9199.51,5934540
9/24/08,9200.26,9200.55,9190.75,9190.75,2792600
9/25/08,9190.75,9190.75,9182.44,9184.15,2477500
9/29/08,9184.14,9184.14,9181.03,9182.8,1668100
9/30/08,9182.71,9182.71,9178.36,9179.68,985100
10/6/08,9179.68,9179.68,9178.97,9178.97,1560600
10/7/08,9178.73,9181.48,9178.73,9181.48,2039860
10/8/08,9183.72,9183.72,9178.73,9178.73,1256000
10/9/08,9181.35,9181.35,9181.35,9181.35,1792100
10/13/08,9184.24,9184.24,9184.24,9184.24,1091000
10/14/08,9184.24,9184.24,9184.24,9184.24,585200
10/15/08,9184.24,9184.24,9184.24,9184.24,499600
10/16/08,9184.24,9184.24,9184.24,9184.24,1306900
10/17/08,9184.24,9184.24,9184.24,9184.24,193300
10/20/08,9184.75,9184.75,9184.75,9184.75,177220
10/21/08,9186.9,9186.8,9186.8,9186.8,237620
10/22/08,9183.74,9183.74,9183.74,9183.74,123600
10/23/08,9183.74,9183.74,9182.88,9182.88,120500
10/24/08,9182.88,9182.88,9182.88,9182.88,402000
10/27/08,9182.88,9182.88,9182.88,9182.88,249500
10/29/08,9182.88,9182.88,9182.88,9182.88,178440
10/30/08,9182.88,9182.88,9182.88,9182.88,111100
10/31/08,9182.88,9182.88,9182.88,9182.88,223400
11/3/08,9184.7,9184.7,9182.88,9182.88,457100
11/4/08,9183.14,9183.14,9183.14,9183.14,246400
11/5/08,9183.14,9183.14,9183.14,9183.14,622200
11/6/08,9183.14,9183.14,9183.14,9183.14,236700
11/7/08,9183.14,9183.14,9183.14,9183.14,78500
11/10/08,9183.14,9183.14,9183.14,9183.14,123700
11/11/08,9183.14,9183.14,9183.14,9183.14,0
11/12/08,9183.14,9183.14,9183.14,9183.14,2000
11/13/08,9184.09,9184.09,9184.09,9184.09,66600
11/14/08,9184.09,9184.09,9184.09,9184.09,57920
11/17/08,9184.09,9184.09,9184.09,9184.09,87200
11/18/08,9184.09,9184.09,9184.09,9184.09,19660
11/19/08,9184.09,9184.09,9184.09,9184.09,182000
11/20/08,9184.09,9184.09,9184.09,9184.09,109900
11/21/08,9187.1,9187.1,9187.1,9187.1,81100
11/24/08,9187.1,9187.1,9187.1,9187.1,146700
11/25/08,9187.1,9187.1,9187.1,9187.1,44600
11/26/08,9187.1,9187.1,9187.1,9187.1,47100
11/27/08,9187.1,9187.1,9187.1,9187.1,82500
11/28/08,9187.1,9187.1,9187.1,9187.1,3700
12/1/08,9187.1,9187.1,9187.1,9187.1,102900
12/2/08,9187.1,9187.1,9187.1,9187.1,197300
12/3/08,9187.1,9187.1,9187.1,9187.1,41200
12/4/08,9187.1,9187.1,9187.1,9187.1,917900
12/5/08,9187.1,9187.1,9187.1,9187.1,41700
12/12/08,9187.1,9187.1,9187.1,9187.1,56000
12/15/08,9181.49,9181.49,8926.83,8927.39,17863180
12/16/08,8797.63,8797.63,8444.89,8444.89,25360900
12/17/08,8416.28,8416.28,8105.63,8105.63,57820000
12/18/08,8086.06,8086.06,7785.26,7785.26,50765760
12/19/08,7735.93,7735.93,7514.42,7514.42,84748200
12/22/08,7469.84,7469.84,7217.46,7217.46,28007600
12/23/08,7190.13,7190.13,6924.15,6924.15,26721840
12/24/08,6892.53,6892.53,6660.18,6660.18,59065760
12/26/08,6639.57,6639.57,6487.52,6487.52,106231280
12/29/08,6396.02,6396.02,6294.67,6294.67,61406300
12/30/08,6204.39,6204.39,6037.38,6037.38,118657936
12/31/08,5937.5,5950,5865.01,5865.01,78682720
1/1/09,5865.01,5865.01,5726.03,5753.18,75434400
1/2/09,5670.89,5858.59,5670.89,5793.57,210762912
1/5/09,5818.22,5955.03,5818.22,5917.4,210111008
1/6/09,5914.63,6093.14,5914.63,6074.87,165193312
1/9/09,6055.05,6244.11,6055.05,6143.81,145449104
1/12/09,6233.81,6239.49,5913.41,6041.44,123007104
1/13/09,6012.66,6140.36,5929.2,6059.09,109691504
1/14/09,6065.77,6113.25,6020.64,6051.1,119767696
1/15/09,6039.6,6051.16,5774,5778.58,90608096
1/16/09,5685.85,5778.58,5508.46,5517,72263320
1/19/09,5429.72,5511.93,5264.67,5280.75,75985480
1/20/09,5189.66,5394.56,5170.76,5258.28,142906224
1/21/09,5290.45,5342.44,5105.48,5136.48,90769520
1/22/09,5103.71,5136.48,4953.01,5020.71,92333664
1/23/09,4985.8,5020.71,4883.08,4929.54,92191696
1/26/09,4909.47,4957.66,4797.83,4815.34,125656040
1/27/09,4796.75,4992.2,4781.78,4972.55,194227600
1/28/09,5004.99,5179.93,4972.55,5139.93,248809104
1/29/09,5183.89,5234.8,5104.97,5183.22,143884496
1/30/09,5226.15,5390.83,5226.15,5367.95,190797216
2/2/09,5380.23,5433.13,5315.97,5333.95,177668928
2/3/09,5324.9,5401.15,5258.44,5384.87,140966592
2/4/09,5403.83,5543.47,5384.87,5534.25,205563216
2/6/09,5539.78,5672.54,5528.76,5597.44,183749952
2/9/09,5602.33,5678.05,5487.01,5573.48,174059984
2/10/09,5596.52,5598.91,5425.12,5455.66,129573000
2/11/09,5387.02,5563.38,5325.42,5429.42,164272560
2/12/09,5420.57,5472.27,5390.24,5399.36,89798600
2/13/09,5414.66,5630.14,5399.36,5625.9,162456032
2/16/09,5689.31,5821.31,5689.31,5776.73,180319488
2/17/09,5798.5,5890.9,5756.29,5839.63,177797120
2/18/09,5848.06,5917.36,5810.49,5880.13,191596608
2/19/09,5916.71,6079.3,5880.14,6022.44,235732400
2/20/09,6018.6,6117.82,5929.14,5969.09,229950496
2/23/09,5954.1,5969.09,5787.16,5850.26,114241960
2/24/09,5821.83,5974.09,5818.15,5874.83,135553616
2/25/09,5894.89,5951.23,5571.38,5580.78,145423392
2/26/09,5495.26,5694.72,5407.61,5649.49,161500896
2/27/09,5680.21,5764.5,5680.21,5727.46,57116880
3/2/09,5730.21,5755.15,5661.39,5681.29,85351800
3/3/09,5564.15,5607.59,5504.9,5596.49,75726240
3/4/09,5623.11,5826.15,5623.11,5815.43,139530272
3/5/09,5865.02,5924.28,5765.84,5788.27,148608096
3/6/09,5790.72,5813.59,5726.38,5748.1,69156096
3/9/09,5725.27,5725.27,5662.01,5662.01,48058700
3/11/09,5638.14,5718.85,5552.9,5557.92,62533700
3/12/09,5566.51,5733.14,5566.51,5707.09,93607120
3/13/09,5744.88,5763.7,5696.41,5750.47,100821344
3/16/09,6029.74,6072.29,6029.74,6063.54,210063392
3/17/09,6158.88,6194.27,6095.5,6138.53,216477760
3/18/09,6167.88,6286.38,6113.03,6266,233757856
3/19/09,6341.65,6460.31,6298.09,6441,275713152
3/20/09,6504.38,6546.45,6313.16,6340.36,221522528
3/24/09,6442.96,6622.74,6442.96,6617,300537856
3/25/09,6689.47,6763.01,6598.77,6674.2,262884512
3/26/09,6694.94,6725.54,6585.8,6608.49,205218656
3/27/09,6632.11,6827.74,6625.19,6803.46,229615824
3/30/09,6964.55,7076.82,6943.8,7015.13,330189184
4/1/09,6928.94,7041.44,6899.46,6931.9,207282688
4/2/09,7010.92,7199.16,7010.92,7191.09,290948416
4/3/09,7293.28,7487.31,7293.28,7432.88,330158816
4/6/09,7452.24,7583.39,7385.08,7518.93,382184608
4/7/09,7602.74,7689.15,7586,7635.88,478944352
4/8/09,7592.16,7674.32,7316.01,7340.3,493090176
4/9/09,7241.79,7488.7,7136.89,7295.98,372239616
