ticker,mkt,previous_close,open,high,low,close,,change,,,volume
AABS,Reg,5.2,5.42,5.42,5.39,6.43,+,0.2,8,63,340.28
AATM,Reg,500.86,508,508.95,502.11,540,+,1.25,9,85,"42,890.13"
ABL,Reg,19.88,21.66,21.67,21.59,66.22,+,1.79,23,4950,"107,194.50"
ABOT,Reg,111,113.5,113.5,110.01,112.51,-,-0.7,8,93,"10,386.57"
ACPL,Reg,708.78,710,710,650.1,745,-,-7.78,16,395,"274,683.95"
ADAMS,Reg,10.26,10.9,11.07,10.9,92.51,+,0.8,4,4000,"44,015.00"
ADMM,Reg,98.46,98.99,99.59,98.6,50,+,0.49,23,69241,"6,838,755.90"
AGHA,Reg,42,43.38,43.38,42.1,41.26,+,1.23,5,2017,"84,935.21"
AGHA-AUG,Reg,47.51,48.3,48.3,46.05,8.66,-,-1.46,50,22002,"1,026,568.74"
AGHA-SEP,Reg,10.12,10.08,10.15,9.92,8.8,-,-0.04,424,824892,"8,267,495.66"
AGIC,FUT,10.55,10.25,10.26,10.15,9.97,-,-0.3,8,5500,"56,240.00"
AGIL,FUT,10.16,10.12,10.35,10,19.19,+,0.19,180,548000,"5,485,775.00"
AGL,Reg,18.85,19,19,19,86.02,+,0.15,1,2000,"38,000.00"
AGL-AUG,Reg,89.81,92.99,93,92.98,22.97,+,3.17,14,8960,"833,042.00"
AGP,Reg,20.96,21.19,21.99,21,23.12,+,0.29,1305,2562267,"55,352,640.63"
AGSML,FUT,21.19,21.3,22.32,21.3,96.01,+,0.36,386,1345500,"29,368,820.00"
AGTL,FUT,21.01,21.1,21.98,21.1,5.81,+,0.24,544,1738500,"37,433,190.00"
AHCL,Reg,88.2,86.51,88.9,86.51,336.99,+,0.7,14,2596,"226,249.91"
AHL,Reg,5.52,5.5,5.5,5.5,50.98,-,-0.02,1,100,550
AICL,Reg,350,350.01,350.01,350,59.9,#ERROR!,0,4,210,"73,500.01"
AIRLINK,Reg,43.08,46.8,46.8,43.31,35.5,+,1.92,60,876357,"39,015,680.64"
AIRLINK-AUG,Reg,55.87,55.61,56.73,55.61,137.68,+,0.33,15,6208,"347,736.84"
AIRLINK-SEP,Reg,35.25,35,35,35,138.7,-,-0.25,5,1267,"44,401.94"
AKBL,Reg,88.69,89,89.98,88.55,144,-,-0.04,1490,1688378,"150,691,291.38"
AKBL-AUG,FUT,89.98,90.1,91.2,89.75,25.87,+,0.21,509,1354000,"122,576,060.00"
AKDHL,FUT,88.87,89,90,88.68,26.28,-,-0.16,316,777000,"69,351,335.00"
AKDSL,Reg,22.62,22.51,22.87,22.11,140.29,-,-0.5,156,172259,"3,852,057.64"
ALIFE,FUT,22.63,22.75,22.75,22.13,14.4,-,-0.48,61,165000,"3,688,370.00"
ALNRS,Reg,119.98,118.06,118.06,118.06,34.73,-,-1.92,1,50,"5,903.00"
ALTN,Reg,18.18,18.19,18.75,17.5,84.84,-,-0.66,16,59199,"1,093,759.73"
AMBL,Reg,4.89,5.1,5.1,5.1,21.15,+,0.21,1,50,255
AMTEX,Reg,35.66,34.82,36.44,34.82,11.99,+,0.78,2,3000,106890
ANL,Reg,23.53,23.2,23.63,23.1,3.56,-,-0.13,8,7692,"178,475.23"
ANTM,Reg,3.05,3.1,3.25,3.07,7.97,+,0.12,235,540025,"1,687,689.00"
APL,Reg,7.45,7.6,7.64,7.36,12.47,-,-0.07,53,56087,"417,513.20"
ARCTM,Reg,387.45,390.95,392,385.15,441.88,-,-0.45,89,8795,"3,418,220.75"
ARPL,Reg,13.49,13.5,13.65,13.5,24,+,0.16,7,10922,"147,567.00"
ARUJ,Reg,359.65,355,358,327.28,301.76,-,-11.65,54,117250,"41,708,010.51"
ASC,Reg,18.08,17.99,17.99,17.99,19.01,-,-0.09,1,5,89.95
ASC-AUG,Reg,8.27,8.3,8.33,8.1,6.6,-,-0.11,103,136296,"1,122,025.22"
ASHT,FUT,8.35,8.42,8.42,8.35,6.67,#ERROR!,0,118,561000,"4,722,325.00"
ASL,FUT,8.22,8.3,8.3,8.1,13.34,+,0.05,130,582000,"4,828,615.00"
ASL-AUG,Reg,7.6,7.65,7.78,7.51,6.95,#ERROR!,0,139,596612,"4,545,081.57"
ASTL,FUT,7.8,7.76,7.76,7.75,7,-,-0.05,118,270000,"2,093,000.00"
ASTM,FUT,7.73,7.65,7.65,7.62,22.68,-,-0.11,117,272000,"2,078,175.00"
ATBA,Reg,27.41,27.65,27.7,27,11.8,-,-0.38,79,105626,"2,906,195.11"
ATIL,Reg,9.93,10.5,10.5,9.35,427.74,+,0.07,10,509,5091.14
ATLH,Reg,300.93,302,307.5,301.5,41.5,+,1.07,138,12208,"3,722,817.42"
ATRL,Reg,484.83,489.82,490,481,635.14,+,0.18,42,4256,"2,072,835.89"
ATRL-AUG,Reg,360.06,364.5,364.5,357.5,347.33,-,-2.56,516,136126,"49,079,343.14"
AVN,FUT,366,366,368,362.5,350.03,-,-3,127,161500,"59,110,650.00"
AVN-AUG,FUT,361.18,361,363.4,355.59,65.27,-,-2.68,178,203000,"73,315,910.00"
BAFL,Reg,54.99,55.26,55.95,54.9,65.87,+,0.41,820,733466,"40,752,755.77"
BAFL-AUGB,FUT,56.02,56.15,56.97,55.8,58.43,-,-0.02,234,353500,"19,969,465.00"
BAHL,FUT,55.21,55.3,56.1,55,59.25,+,0.09,311,390500,"21,728,980.00"
BAHL-AUG,Reg,67.24,66.55,67.98,66.55,99.04,+,0.26,232,487010,"32,576,276.91"
BAPL,FUT,67,69,70.99,68,98.51,+,3.99,5,2500,"172,745.00"
BATA,FUT,67,67,68,67,35.06,+,1,5,2500,"168,000.00"
BBFL,Reg,108.82,109.3,111,108.51,1729.15,+,1.18,65,95137,"10,417,975.80"
BCL,Reg,39.56,37,40.9,37,80.06,-,-1.06,56,27591,"1,048,432.80"
BECO,Reg,1700,1700,1700.01,1700,122.71,+,0.01,5,154,"261,801.00"
